True_Class,Pred_Class,True_Risk_pips,Pred_Risk_pips
0,1,0.21995051,0.19112612
0,1,0.22809364,0.18725224
0,1,0.25431937,0.19736691
0,1,0.29109353,0.19153747
0,1,0.2909554,0.22088689
0,1,0.26352766,0.2131718
0,1,0.23613341,0.18356317
0,1,0.19060713,0.1739169
0,0,0.17750111,0.21067563
0,0,0.1800664,0.19327636
0,1,0.17072317,0.18964088
0,1,0.14824638,0.18194753
0,1,0.1563839,0.18139811
0,1,0.17080328,0.17084205
0,1,0.19524895,0.16236088
0,1,0.20094149,0.1577826
0,1,0.20086227,0.17672363
0,0,0.1939221,0.20244585
0,1,0.18019484,0.19371653
1,1,0.15458658,0.17467132
1,0,0.13272563,0.19939293
2,1,0.1327539,0.18179798
2,1,0.13341017,0.17117214
2,1,0.14969122,0.1765494
2,1,0.19167888,0.17017996
2,1,0.19168608,0.16689354
2,2,0.19173893,0.16136707
2,2,0.18549736,0.16906728
1,1,0.14903876,0.15917043
2,2,0.14469786,0.16758268
2,2,0.13278548,0.16041723
2,1,0.108927004,0.17239602
2,2,0.10893178,0.15325831
2,2,0.11079951,0.14737037
1,1,0.11078772,0.14732072
1,1,0.11076484,0.15389386
1,1,0.11072742,0.16358513
2,1,0.14765596,0.15664156
2,1,0.2103181,0.13597094
2,2,0.23979764,0.1436232
2,2,0.24730624,0.14674108
2,1,0.26478377,0.15296343
2,1,0.30038676,0.15956417
2,1,0.2997422,0.16461112
0,1,0.36720547,0.16409585
0,2,0.3672836,0.16106085
0,2,0.42055988,0.16442433
0,2,0.4205125,0.17251842
0,2,0.42050198,0.16433524
0,1,0.4514616,0.16787538
0,2,0.45118797,0.19842838
0,1,0.4510414,0.19788846
0,1,0.4510752,0.18909045
0,1,0.45084986,0.19686766
0,1,0.45076543,0.19317383
0,1,0.35286036,0.1883604
2,1,0.22167256,0.23552561
2,1,0.2692987,0.22058366
2,1,0.269432,0.20977738
2,1,0.26996046,0.22727412
2,1,0.27946964,0.21930586
2,1,0.25438756,0.2231249
2,1,0.24115252,0.16492933
2,1,0.24486166,0.17948084
2,1,0.24487239,0.18625703
2,1,0.24491687,0.18223795
2,1,0.2053941,0.1844381
2,1,0.18093258,0.19125518
1,2,0.14763471,0.18599601
1,1,0.14761995,0.18983434
0,1,0.14757933,0.18963902
0,1,0.14755534,0.19451895
1,1,0.14759687,0.18796062
0,1,0.14752582,0.20184022
0,0,0.14753596,0.23919818
0,0,0.13256297,0.23201625
0,0,0.17262407,0.2208994
0,0,0.17257658,0.24016407
0,1,0.19394515,0.21105109
0,1,0.19400948,0.1911887
0,1,0.19390634,0.187375
1,1,0.19396093,0.18157922
1,1,0.19394515,0.18333744
1,1,0.19391726,0.18671563
0,1,0.19387724,0.18672004
0,1,0.17765322,0.18014704
0,0,0.15765372,0.21166432
1,1,0.13579899,0.20333299
2,1,0.15900242,0.19268319
2,1,0.19221257,0.18981387
2,1,0.1621933,0.18375966
2,1,0.15277499,0.18882506
2,1,0.15023756,0.13793552
2,1,0.113272965,0.14811726
2,1,0.12514235,0.15800637
2,1,0.16018121,0.1589987
2,1,0.1601772,0.15717083
2,1,0.16206442,0.1495164
2,2,0.15895367,0.14084674
2,2,0.14579722,0.13676012
2,1,0.12572007,0.1356872
2,1,0.1044246,0.16010551
2,1,0.10881461,0.15928009
2,1,0.10818112,0.15531641
2,2,0.10570097,0.13986808
2,2,0.08566891,0.13141328
1,1,0.076908164,0.1335953
0,1,0.064365745,0.1508772
0,1,0.07749952,0.16075464
1,1,0.07749661,0.15513963
0,1,0.07749177,0.11870618
1,1,0.07749274,0.11319423
0,1,0.091238596,0.11390476
0,1,0.103726014,0.11507493
0,1,0.09373594,0.11144068
0,1,0.10062186,0.108142145
0,1,0.122503825,0.10546195
0,1,0.113135606,0.1011174
0,1,0.12939845,0.10083755
0,1,0.14003938,0.10406751
0,1,0.14880209,0.104313046
0,1,0.14877231,0.101185046
0,0,0.1475332,0.13448998
0,0,0.14440118,0.14242312
0,1,0.11318088,0.1299337
0,1,0.1044455,0.121794626
0,1,0.1000663,0.12263586
0,1,0.08319364,0.11895628
1,1,0.07069835,0.13481154
1,1,0.08446105,0.14106992
2,1,0.0894975,0.13224763
2,1,0.08950982,0.13124567
1,1,0.07634161,0.14016539
1,1,0.067590825,0.13580047
0,1,0.09386205,0.110657826
0,1,0.09385089,0.109129846
1,1,0.09386381,0.10547147
0,1,0.093855,0.10609177
1,1,0.09386264,0.105533816
1,1,0.09386146,0.1006167
0,1,0.09383856,0.11547382
0,1,0.09382389,0.1311849
1,1,0.08382387,0.12047945
0,1,0.08382649,0.11135705
0,1,0.0669432,0.105701655
0,1,0.094487794,0.105957136
0,1,0.21407379,0.107870765
0,1,0.2140644,0.101104066
0,1,0.21406843,0.09680883
0,1,0.21406977,0.09850707
0,1,0.21404564,0.09854589
0,1,0.21403225,0.09898504
0,1,0.21406306,0.113324165
0,1,0.21402824,0.1296888
0,0,0.2139827,0.14945431
0,1,0.20087484,0.14966474
0,1,0.17776443,0.13041078
0,1,0.12644994,0.13113135
2,1,0.13599303,0.1379881
2,1,0.117799655,0.13911936
2,1,0.10964019,0.13948478
2,1,0.10462414,0.13755815
2,1,0.1027453,0.14414313
2,1,0.10085571,0.14575209
2,1,0.09645678,0.13840821
2,1,0.10083044,0.1376403
2,1,0.1008317,0.13754185
2,1,0.11399866,0.13898656
0,1,0.20226815,0.1437301
0,1,0.26363745,0.13837206
0,1,0.29361314,0.18126017
0,1,0.29365173,0.17891967
0,1,0.2936168,0.17864771
0,1,0.29373634,0.15890586
0,1,0.29371426,0.15114826
0,1,0.29370508,0.1486984
0,0,0.293558,0.26109216
0,0,0.31173512,0.26869962
0,0,0.3160853,0.27028924
0,0,0.33169988,0.2823615
0,1,0.15922968,0.21640477
0,1,0.16184072,0.21805918
0,1,0.19447197,0.18178917
0,1,0.1945037,0.17673784
0,1,0.1944793,0.1898034
0,0,0.18620807,0.2209507
0,1,0.17307113,0.22204033
0,1,0.15370524,0.20654374
1,1,0.14619882,0.20581815
2,1,0.14247875,0.19780618
2,1,0.14872642,0.20393778
2,1,0.17259341,0.1919629
2,1,0.2272399,0.18636698
2,1,0.23722112,0.19168214
2,2,0.23047987,0.18413019
2,1,0.23048131,0.1836025
2,1,0.21914677,0.17913674
1,1,0.16507554,0.19030131
1,1,0.16188744,0.19826095
1,1,0.15753073,0.18564396
0,2,0.17754078,0.18070178
0,2,0.22770184,0.1735804
0,2,0.26410714,0.17393836
0,2,0.2940992,0.18343788
0,1,0.33095562,0.177396
0,1,0.33090585,0.17129563
0,0,0.27212933,0.18910505
0,1,0.22645581,0.1720705
0,1,0.22271715,0.1644904
0,1,0.21836664,0.15890862
0,1,0.21645701,0.16908123
0,1,0.19264317,0.16568398
0,0,0.16383667,0.22885811
0,1,0.12560841,0.21671362
0,1,0.1256384,0.20791957
1,1,0.12567313,0.19492388
1,1,0.12130583,0.18807958
1,1,0.10243069,0.19638924
0,1,0.10242103,0.15200928
1,1,0.10241846,0.14988859
0,1,0.102392726,0.16781993
1,1,0.07600311,0.18721975
2,1,0.08293906,0.16420555
2,1,0.08293906,0.15194255
2,1,0.09173908,0.13867658
2,1,0.09174139,0.13525148
2,1,0.09175869,0.1315122
1,1,0.091750614,0.12699056
2,1,0.091746,0.12887947
2,1,0.09176272,0.11760693
1,2,0.09176734,0.13028468
1,2,0.11186104,0.117943734
0,1,0.12002086,0.11663138
0,1,0.12374294,0.117924415
0,1,0.1532442,0.13658595
